name,score,pattern
bati,96.0,CVCV
bere,96.0,CVCV
bore,96.0,CVCV
cate,96.0,CVCV
cati,96.0,CVCV
cere,96.0,CVCV
core,96.0,CVCV
date,96.0,CVCV
dati,96.0,CVCV
dere,96.0,CVCV
dore,96.0,CVCV
fati,96.0,CVCV
fore,96.0,CVCV
gore,96.0,CVCV
hati,96.0,CVCV
hedi,96.0,CVCV
hedo,96.0,CVCV
hehe,96.0,CVCV
hena,96.0,CVCV
hene,96.0,CVCV
heno,96.0,CVCV
hesi,96.0,CVCV
hete,96.0,CVCV
hiti,96.0,CVCV
hore,96.0,CVCV
jati,96.0,CVCV
jere,96.0,CVCV
kati,96.0,CVCV
late,96.0,CVCV
lati,96.0,CVCV
lere,96.0,CVCV
lore,96.0,CVCV
mate,96.0,CVCV
mati,96.0,CVCV
more,96.0,CVCV
nere,96.0,CVCV
nore,96.0,CVCV
pate,96.0,CVCV
pore,96.0,CVCV
rate,96.0,CVCV
reda,96.0,CVCV
rede,96.0,CVCV
redi,96.0,CVCV
redo,96.0,CVCV
rehe,96.0,CVCV
reni,96.0,CVCV
rere,96.0,CVCV
reri,96.0,CVCV
reru,96.0,CVCV
resa,96.0,CVCV
resi,96.0,CVCV
reti,96.0,CVCV
riti,96.0,CVCV
sati,96.0,CVCV
sera,96.0,CVCV
sero,96.0,CVCV
sore,96.0,CVCV
tede,96.0,CVCV
tena,96.0,CVCV
teno,96.0,CVCV
tere,96.0,CVCV
teri,96.0,CVCV
teru,96.0,CVCV
tese,96.0,CVCV
tihe,96.0,CVCV
tini,96.0,CVCV
tinu,96.0,CVCV
tire,96.0,CVCV
tite,96.0,CVCV
vati,96.0,CVCV
wati,96.0,CVCV
wore,96.0,CVCV
yati,96.0,CVCV
yere,96.0,CVCV
yore,96.0,CVCV
lare,95.8,CVCV
tesi,95.8,CVCV
hare,95.6,CVCV
lese,95.6,CVCV
liti,95.2,CVCV
pare,95.2,CVCV
rato,95.2,CVCV
redu,95.2,CVCV
heto,95.0,CVCV
tisi,95.0,CVCV
tohe,95.0,CVCV
gare,94.8,CVCV
tesa,94.8,CVCV
bare,94.6,CVCV
siti,94.6,CVCV
mese,94.4,CVCV
tenu,94.4,CVCV
veri,94.4,CVCV
hele,94.2,CVCV
tita,94.2,CVCV
yare,94.2,CVCV
dese,94.0,CVCV
tisa,94.0,CVCV
tori,94.0,CVCV
vero,94.0,CVCV
hato,93.6,CVCV
miti,93.6,CVCV
sene,93.6,CVCV
teti,93.6,CVCV
toni,93.6,CVCV
toro,93.6,CVCV
fiti,93.4,CVCV
nato,93.4,CVCV
site,93.4,CVCV
teda,93.4,CVCV
deri,93.2,CVCV
kiti,93.2,CVCV
mero,93.2,CVCV
tedo,93.2,CVCV
tora,93.2,CVCV
fato,93.0,CVCV
witi,93.0,CVCV
mera,92.8,CVCV
dite,92.6,CVCV
jiti,92.6,CVCV
vato,92.6,CVCV
wato,92.6,CVCV
dera,92.4,CVCV
hito,92.4,CVCV
jato,92.4,CVCV
sede,92.4,CVCV
seru,92.4,CVCV
tete,92.4,CVCV
tisu,92.4,CVCV
yiti,92.4,CVCV
fite,92.2,CVCV
yato,92.2,CVCV
ahen,92.0,VCVC
aher,92.0,VCVC
alen,92.0,VCVC
anal,92.0,VCVC
anan,92.0,VCVC
aner,92.0,VCVC
anes,92.0,VCVC
anin,92.0,VCVC
anon,92.0,VCVC
anor,92.0,VCVC
arat,92.0,VCVC
arer,92.0,VCVC
arin,92.0,VCVC
aser,92.0,VCVC
atan,92.0,VCVC
atat,92.0,VCVC
atel,92.0,VCVC
ater,92.0,VCVC
atim,92.0,VCVC
atir,92.0,VCVC
ehen,92.0,VCVC
ehes,92.0,VCVC
enan,92.0,VCVC
enat,92.0,VCVC
enen,92.0,VCVC
enor,92.0,VCVC
eran,92.0,VCVC
erar,92.0,VCVC
erem,92.0,VCVC
erer,92.0,VCVC
erin,92.0,VCVC
eris,92.0,VCVC
erit,92.0,VCVC
esat,92.0,VCVC
eses,92.0,VCVC
eson,92.0,VCVC
eter,92.0,VCVC
gite,92.0,CVCV
ihen,92.0,VCVC
ihes,92.0,VCVC
inan,92.0,VCVC
inen,92.0,VCVC
inis,92.0,VCVC
inon,92.0,VCVC
inor,92.0,VCVC
iren,92.0,VCVC
irer,92.0,VCVC
ires,92.0,VCVC
isan,92.0,VCVC
isen,92.0,VCVC
iser,92.0,VCVC
ises,92.0,VCVC
isin,92.0,VCVC
itan,92.0,VCVC
iten,92.0,VCVC
ites,92.0,VCVC
itin,92.0,VCVC
itis,92.0,VCVC
itit,92.0,VCVC
itor,92.0,VCVC
kite,92.0,CVCV
ofon,92.0,VCVC
ohen,92.0,VCVC
oher,92.0,VCVC
ohes,92.0,VCVC
ones,92.0,VCVC
onin,92.0,VCVC
onon,92.0,VCVC
onor,92.0,VCVC
orel,92.0,VCVC
orem,92.0,VCVC
orer,92.0,VCVC
ores,92.0,VCVC
oret,92.0,VCVC
orin,92.0,VCVC
oris,92.0,VCVC
oror,92.0,VCVC
otin,92.0,VCVC
rele,92.0,CVCV
rine,92.0,CVCV
seno,92.0,CVCV
tonu,92.0,CVCV
uher,92.0,VCVC
uren,92.0,VCVC
urer,92.0,VCVC
ures,92.0,VCVC
utin,92.0,VCVC
bite,91.8,CVCV
edat,91.8,VCVC
lehe,91.8,CVCV
wite,91.8,CVCV
bese,91.6,CVCV
hise,91.6,CVCV
onis,91.6,VCVC
orit,91.6,VCVC
seni,91.6,CVCV
tedu,91.6,CVCV
esor,91.4,VCVC
heve,91.4,CVCV
itat,91.4,VCVC
isat,91.2,VCVC
rise,91.2,CVCV
yite,91.2,CVCV
atal,91.0,VCVC
hean,91.0,CVVC
heas,91.0,CVVC
heco,91.0,CVCV
heon,91.0,CVVC
heor,91.0,CVVC
onal,91.0,VCVC
real,91.0,CVVC
rean,91.0,CVVC
reat,91.0,CVVC
rein,91.0,CVVC
reor,91.0,CVVC
teat,91.0,CVVC
tein,91.0,CVVC
tian,91.0,CVVC
tiat,91.0,CVVC
tier,91.0,CVVC
tion,91.0,CVVC
tior,91.0,CVVC
atem,90.8,VCVC
beri,90.8,CVCV
gese,90.8,CVCV
hino,90.8,CVCV
lito,90.8,CVCV
nera,90.8,CVCV
pese,90.8,CVCV
pite,90.8,CVCV
asin,90.6,VCVC
atar,90.6,VCVC
esis,90.6,VCVC
hina,90.6,CVCV
mehe,90.6,CVCV
onar,90.6,VCVC
seso,90.6,CVCV
enit,90.4,VCVC
hini,90.4,CVCV
lede,90.4,CVCV
leru,90.4,CVCV
mene,90.4,CVCV
oral,90.4,VCVC
rane,90.4,CVCV
tofo,90.4,CVCV
toti,90.4,CVCV
uten,90.4,VCVC
enal,90.2,VCVC
esit,90.2,VCVC
fese,90.2,CVCV
rina,90.2,CVCV
sito,90.2,CVCV
tofa,90.2,CVCV
tofi,90.2,CVCV
atom,90.0,VCVC
dene,90.0,CVCV
geri,90.0,CVCV
leno,90.0,CVCV
