name,score,pattern
bati,96.0,CVCV
bere,96.0,CVCV
bore,96.0,CVCV
care,96.0,CVCV
cate,96.0,CVCV
cati,96.0,CVCV
cere,96.0,CVCV
core,96.0,CVCV
date,96.0,CVCV
dati,96.0,CVCV
dere,96.0,CVCV
dore,96.0,CVCV
fate,96.0,CVCV
fati,96.0,CVCV
fere,96.0,CVCV
fore,96.0,CVCV
gate,96.0,CVCV
gati,96.0,CVCV
gere,96.0,CVCV
gore,96.0,CVCV
hate,96.0,CVCV
hati,96.0,CVCV
heda,96.0,CVCV
hede,96.0,CVCV
hedi,96.0,CVCV
hedo,96.0,CVCV
hedu,96.0,CVCV
hehe,96.0,CVCV
hena,96.0,CVCV
hene,96.0,CVCV
heni,96.0,CVCV
heno,96.0,CVCV
henu,96.0,CVCV
hera,96.0,CVCV
here,96.0,CVCV
heri,96.0,CVCV
hero,96.0,CVCV
heru,96.0,CVCV
hesa,96.0,CVCV
hese,96.0,CVCV
hesi,96.0,CVCV
heso,96.0,CVCV
hesu,96.0,CVCV
hete,96.0,CVCV
heti,96.0,CVCV
hiti,96.0,CVCV
hore,96.0,CVCV
jati,96.0,CVCV
jere,96.0,CVCV
jore,96.0,CVCV
kate,96.0,CVCV
kati,96.0,CVCV
kere,96.0,CVCV
kore,96.0,CVCV
late,96.0,CVCV
lati,96.0,CVCV
lere,96.0,CVCV
lore,96.0,CVCV
mare,96.0,CVCV
mate,96.0,CVCV
mati,96.0,CVCV
mere,96.0,CVCV
more,96.0,CVCV
nate,96.0,CVCV
nati,96.0,CVCV
nere,96.0,CVCV
nore,96.0,CVCV
pate,96.0,CVCV
pati,96.0,CVCV
pere,96.0,CVCV
pore,96.0,CVCV
rare,96.0,CVCV
rate,96.0,CVCV
rati,96.0,CVCV
reda,96.0,CVCV
rede,96.0,CVCV
redi,96.0,CVCV
redo,96.0,CVCV
rehe,96.0,CVCV
rena,96.0,CVCV
rene,96.0,CVCV
reni,96.0,CVCV
reno,96.0,CVCV
renu,96.0,CVCV
rera,96.0,CVCV
rere,96.0,CVCV
reri,96.0,CVCV
rero,96.0,CVCV
reru,96.0,CVCV
resa,96.0,CVCV
rese,96.0,CVCV
resi,96.0,CVCV
reso,96.0,CVCV
resu,96.0,CVCV
rete,96.0,CVCV
reti,96.0,CVCV
riti,96.0,CVCV
rore,96.0,CVCV
sate,96.0,CVCV
sati,96.0,CVCV
sera,96.0,CVCV
sere,96.0,CVCV
seri,96.0,CVCV
sero,96.0,CVCV
sese,96.0,CVCV
sore,96.0,CVCV
tate,96.0,CVCV
tati,96.0,CVCV
tede,96.0,CVCV
tehe,96.0,CVCV
tena,96.0,CVCV
tene,96.0,CVCV
teni,96.0,CVCV
teno,96.0,CVCV
tera,96.0,CVCV
tere,96.0,CVCV
teri,96.0,CVCV
tero,96.0,CVCV
teru,96.0,CVCV
tese,96.0,CVCV
tihe,96.0,CVCV
tina,96.0,CVCV
tine,96.0,CVCV
tini,96.0,CVCV
tino,96.0,CVCV
tinu,96.0,CVCV
tire,96.0,CVCV
tise,96.0,CVCV
tite,96.0,CVCV
titi,96.0,CVCV
tito,96.0,CVCV
tore,96.0,CVCV
vati,96.0,CVCV
vere,96.0,CVCV
vore,96.0,CVCV
wati,96.0,CVCV
were,96.0,CVCV
wore,96.0,CVCV
yati,96.0,CVCV
yere,96.0,CVCV
yore,96.0,CVCV
bate,95.8,CVCV
lare,95.8,CVCV
tare,95.8,CVCV
tesi,95.8,CVCV
vate,95.8,CVCV
wate,95.8,CVCV
hare,95.6,CVCV
hite,95.6,CVCV
jate,95.6,CVCV
lese,95.6,CVCV
tone,95.6,CVCV
dare,95.4,CVCV
nare,95.4,CVCV
yate,95.4,CVCV
liti,95.2,CVCV
pare,95.2,CVCV
rato,95.2,CVCV
redu,95.2,CVCV
rite,95.2,CVCV
sare,95.2,CVCV
vese,95.2,CVCV
fare,95.0,CVCV
heto,95.0,CVCV
teso,95.0,CVCV
tisi,95.0,CVCV
tohe,95.0,CVCV
gare,94.8,CVCV
kare,94.8,CVCV
leri,94.8,CVCV
tesa,94.8,CVCV
bare,94.6,CVCV
siti,94.6,CVCV
vare,94.6,CVCV
ware,94.6,CVCV
jare,94.4,CVCV
lero,94.4,CVCV
mato,94.4,CVCV
mese,94.4,CVCV
tenu,94.4,CVCV
veri,94.4,CVCV
hele,94.2,CVCV
tiso,94.2,CVCV
tita,94.2,CVCV
yare,94.2,CVCV
cato,94.0,CVCV
dese,94.0,CVCV
lera,94.0,CVCV
lite,94.0,CVCV
tisa,94.0,CVCV
tono,94.0,CVCV
tori,94.0,CVCV
vero,94.0,CVCV
diti,93.8,CVCV
lato,93.8,CVCV
sehe,93.8,CVCV
tato,93.8,CVCV
tona,93.8,CVCV
hato,93.6,CVCV
meri,93.6,CVCV
miti,93.6,CVCV
niti,93.6,CVCV
sene,93.6,CVCV
teti,93.6,CVCV
toni,93.6,CVCV
toro,93.6,CVCV
vera,93.6,CVCV
dato,93.4,CVCV
fiti,93.4,CVCV
nato,93.4,CVCV
site,93.4,CVCV
teda,93.4,CVCV
tedi,93.4,CVCV
deri,93.2,CVCV
giti,93.2,CVCV
kiti,93.2,CVCV
mero,93.2,CVCV
pato,93.2,CVCV
sato,93.2,CVCV
tedo,93.2,CVCV
tesu,93.2,CVCV
tora,93.2,CVCV
biti,93.0,CVCV
fato,93.0,CVCV
viti,93.0,CVCV
witi,93.0,CVCV
dero,92.8,CVCV
gato,92.8,CVCV
kato,92.8,CVCV
mera,92.8,CVCV
reto,92.8,CVCV
bato,92.6,CVCV
dite,92.6,CVCV
jiti,92.6,CVCV
vato,92.6,CVCV
wato,92.6,CVCV
dera,92.4,CVCV
hine,92.4,CVCV
hito,92.4,CVCV
jato,92.4,CVCV
mite,92.4,CVCV
nese,92.4,CVCV
nite,92.4,CVCV
sede,92.4,CVCV
seru,92.4,CVCV
tete,92.4,CVCV
tisu,92.4,CVCV
yiti,92.4,CVCV
fite,92.2,CVCV
yato,92.2,CVCV
ahen,92.0,VCVC
aher,92.0,VCVC
ahes,92.0,VCVC
alan,92.0,VCVC
alen,92.0,VCVC
aler,92.0,VCVC
ales,92.0,VCVC
alin,92.0,VCVC
anal,92.0,VCVC
anan,92.0,VCVC
anat,92.0,VCVC
anen,92.0,VCVC
aner,92.0,VCVC
anes,92.0,VCVC
anin,92.0,VCVC
anis,92.0,VCVC
anit,92.0,VCVC
anon,92.0,VCVC
anor,92.0,VCVC
aran,92.0,VCVC
arat,92.0,VCVC
arel,92.0,VCVC
aren,92.0,VCVC
arer,92.0,VCVC
ares,92.0,VCVC
arin,92.0,VCVC
aron,92.0,VCVC
asen,92.0,VCVC
aser,92.0,VCVC
ases,92.0,VCVC
atan,92.0,VCVC
atat,92.0,VCVC
atel,92.0,VCVC
aten,92.0,VCVC
ater,92.0,VCVC
ates,92.0,VCVC
atil,92.0,VCVC
atim,92.0,VCVC
atin,92.0,VCVC
atir,92.0,VCVC
atis,92.0,VCVC
